timestamp,upper_tank_pct,pressure_kpa,sensor_voltage,sensor_status,lora_rssi,lora_snr,pump_current_a,mains_voltage_v,pump_relay,decision_action,decision_state,decision_reason
2026-07-12T01:02:31.760632,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (77s old)
2026-07-12T01:02:32.772037,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (78s old)
2026-07-12T01:02:33.784208,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (79s old)
2026-07-12T01:02:34.794670,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (80s old)
2026-07-12T01:02:35.814559,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (81s old)
2026-07-12T01:02:36.825036,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (82s old)
2026-07-12T01:02:37.839324,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (83s old)
2026-07-12T01:02:38.848007,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (84s old)
2026-07-12T01:02:39.860699,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (85s old)
2026-07-12T01:02:40.880299,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (86s old)
2026-07-12T01:02:41.889679,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (87s old)
2026-07-12T01:02:42.901567,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (88s old)
2026-07-12T01:02:43.911347,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (89s old)
2026-07-12T01:02:44.924881,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (90s old)
2026-07-12T01:02:45.933873,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (91s old)
2026-07-12T01:02:46.945427,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (92s old)
2026-07-12T01:02:47.954504,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (93s old)
2026-07-12T01:02:48.968423,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (94s old)
2026-07-12T01:02:49.979147,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (95s old)
2026-07-12T01:02:50.992549,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (96s old)
2026-07-12T01:02:52.004904,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (97s old)
2026-07-12T01:02:53.016324,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (98s old)
2026-07-12T01:02:54.026883,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (99s old)
2026-07-12T01:02:55.036637,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (100s old)
2026-07-12T01:02:56.048485,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (101s old)
2026-07-12T01:02:57.058337,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (102s old)
2026-07-12T01:02:58.071116,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (103s old)
2026-07-12T01:02:59.080059,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (104s old)
2026-07-12T01:03:00.092216,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (105s old)
2026-07-12T01:03:01.104317,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (106s old)
2026-07-12T01:03:02.116196,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (107s old)
